Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Resultado de Intermediação Financeira;;;;;;;;;;;;;;Outras Receitas/Despesas Operacionais;;;;;;;;;Resultado Operacional (e) = (c) + (d);Resultado Não Operacional (f);Resultado antes da Tributação, Lucro e Participação (g) = (e) + (f);Imposto de Renda e Contribuição Social (h);Participação nos Lucros (i);Lucro Líquido (j) = (g) + (h) + (i);Juros Sobre Capital Social de Cooperativas (k);
;;;;;;;;;Receitas de Intermediação Financeira;;;;;;;Despesas de Intermediação Financeira;;;;;;Resultado de Intermediação Financeira (c) = (a) + (b);Rendas de Prestação de Serviços (d1);Rendas de Tarifas Bancárias (d2);Despesas de Pessoal (d3);Despesas Administrativas (d4);Despesas Tributárias (d5);Resultado de Participações (d6);Outras Receitas Operacionais (d7);Outras Despesas Operacionais (d8);Outras Receitas/Despesas  Operacionais (d) = (d1) + (d2) + (d3) + (d4) + (d5) + (d6) + (d7) + (d8);;;;;;;;
;;;;;;;;;Rendas de Operações de Crédito (a1);Rendas de Operações de Arrendamento Mercantil (a2);Rendas de Operações com TVM (a3);Rendas de Operações com Instrumentos Financeiros Derivativos (a4);Resultado de Operações de Câmbio (a5);Rendas de Aplicações Compulsórias (a6);Receitas de Intermediação Financeira (a) = (a1) + (a2) + (a3) + (a4) + (a5) + (a6);Despesas de Captação (b1);Despesas de Obrigações por Empréstimos e Repasses (b2);Despesas de Operações de Arrendamento Mercantil (b3);Resultado de Operações de Câmbio (b4);Resultado de Provisão para Créditos de Difícil Liquidação (b5);Despesas de Intermediação Financeira (b) = (b1) + (b2) + (b3) + (b4) + (b5);;;;;;;;;;;;;;;;;;
MERCANTIL DO BRASIL - PRUDENCIAL;1000080123;b1;S3;C;2;BELO HORIZONTE;MG;12/2024;2.972.711;0;287.567;39.038;20;2.955;3.302.292;-1.099.598;-776;0;0;-234.475;-1.334.849;1.967.442;27.918;102.633;-320.021;-612.072;-115.625;116.555;216.580;-891.350;-1.475.382;492.060;47.695;539.755;-75.582;-56.837;407.337;0
BNP PARIBAS - PRUDENCIAL;1000080673;b1;S3;C;3;SAO PAULO;SP;12/2024;306.670;0;1.010.770;1.408.578;202.574;0;2.928.591;-765.265;-1.242.024;0;0;155.937;-1.851.351;1.077.240;187.384;1.299;-447.129;-336.060;-31.849;945;311.393;-809.529;-1.123.547;-46.307;-109;-46.416;36.637;-14.090;-23.869;0
BOFA MERRILL LYNCH - PRUDENCIAL;1000080556;b1;S3;C;3;SAO PAULO;SP;12/2024;106.169;0;979.090;695.491;295.052;813.862;2.889.664;-824.002;-137.236;0;0;-814;-962.053;1.927.611;820.961;6.726;-715.637;-245.261;-90.313;0;665.282;-1.573.793;-1.132.036;795.575;-653;794.922;-145.177;0;649.745;0
BCO DA AMAZONIA S.A. - PRUDENCIAL;1000081249;b1;S3;I;1;BELEM;PA;12/2024;1.521.993;0;1.085.014;0;10.715;0;2.617.722;-574.469;-1.154.191;0;0;-666.753;-2.395.413;222.309;283.350;121.483;-388.475;-314.063;-78.902;0;1.072.969;-337.935;358.428;580.737;858;581.595;111.823;-100.537;592.881;0
MERCADO PAGO IP - PRUDENCIAL;1000084820;n1;S4;C;3;OSASCO;SP;12/2024;1.984.866;0;506.986;125.801;0;0;2.617.653;-410.772;-219.633;0;-42.518;-1.635.115;-2.308.038;309.615;7.711.822;0;-434.613;-1.164.321;-1.122.088;0;1.747.870;-6.916.332;-177.662;131.953;0;131.953;94.902;0;226.855;0
BCO CSF S.A. - PRUDENCIAL;1000081610;b2;S3;I;2;SAO PAULO;SP;12/2024;2.551.026;0;58.791;0;0;0;2.609.817;-191.267;0;0;0;-1.863.504;-2.054.771;555.046;582.220;361.541;-110.047;-680.751;-151.855;82.820;54.335;-572.233;-433.970;121.076;84;121.160;17.759;0;138.919;0
BOCOM - PRUDENCIAL;1000084624;b1;S3;C;3;SALVADOR;BA;12/2024;1.438.417;0;648.246;133.011;235.823;0;2.455.498;-2.708.807;-1.218.704;0;0;-20.853;-3.948.365;-1.492.867;38.673;28.862;-49.618;-61.756;-17.478;0;2.305.674;-458.073;1.786.283;293.416;200;293.617;-93.741;-67.290;132.586;0
PICPAY - PRUDENCIAL;1000088022;b1;S3;C;2;SAO PAULO;SP;12/2024;1.761.076;0;400.585;127.582;0;16.968;2.306.211;-777.403;0;0;0;-408.415;-1.185.818;1.120.393;922.229;47.124;-455.452;-233.983;-145.828;27.420;176.489;-871.794;-533.795;586.599;-2.204;584.394;-138.773;-134.955;310.666;0
BANESTES - PRUDENCIAL;1000080147;b1;S3;C;1;VITORIA;ES;12/2024;884.209;0;1.312.992;0;0;36.807;2.234.008;-1.480.104;-5.958;0;0;-107.653;-1.593.716;640.292;71.472;102.464;-236.554;-206.243;-50.602;42.361;24.415;-66.287;-318.975;321.317;34.845;356.162;-63.143;-68.994;224.025;0
BANCO CNH INDUSTRIAL CAPITAL S.A - PRUDENCIAL;1000081407;b2;S3;I;3;CURITIBA;PR;12/2024;1.991.949;42.174;57.460;-24.428;0;0;2.067.156;-824.300;-698.776;-35.893;0;-638.967;-2.197.936;-130.780;5.390;97;-30.851;-89.883;-27.948;0;153.290;-14.654;-4.560;-135.340;-588;-135.929;143.304;-3.106;4.270;0
